Tiempo,Temperatura,Humedad,Dirección del viento,Velocidad del viento,Presión barométrica,Precipitación,Batería
"2024-05-18 00:14:47","29.2 ℃","78.5 %","25 °","0.7 m/s","1002.7 hPa","0 mm","98 %",
"2024-05-18 00:29:46","29.2 ℃","79 %","60.9 °","1.7 m/s","1002.7 hPa","0 mm","98 %",
"2024-05-18 00:44:46","29.1 ℃","79.5 %","74.9 °","2.3 m/s","1002.5 hPa","0 mm","98 %",
"2024-05-18 00:59:46","29 ℃","79.5 %","19.9 °","1.3 m/s","1002.3 hPa","0 mm","96 %",
"2024-05-18 01:14:46","29 ℃","80 %","53.3 °","0.9 m/s","1002.4 hPa","0 mm","96 %",
"2024-05-18 01:29:46","29.1 ℃","79.5 %","343.2 °","0.7 m/s","1002.7 hPa","0 mm","96 %",
"2024-05-18 01:44:47","29.3 ℃","79 %","64.5 °","1.3 m/s","1002.7 hPa","0 mm","96 %",
"2024-05-18 01:59:46","29.3 ℃","79 %","78.3 °","2.3 m/s","1002.4 hPa","0 mm","95 %",
"2024-05-18 02:14:46","29.2 ℃","79 %","11.1 °","0.9 m/s","1002.4 hPa","0 mm","95 %",
"2024-05-18 02:29:46","29.3 ℃","79.5 %","326.1 °","0.9 m/s","1002.4 hPa","0 mm","95 %",
"2024-05-18 02:44:46","29.2 ℃","79.5 %","37.6 °","1.3 m/s","1002.3 hPa","0 mm","95 %",
"2024-05-18 02:59:46","29.1 ℃","79.5 %","165.9 °","0.4 m/s","1002.4 hPa","0 mm","94 %",
"2024-05-18 03:14:46","29 ℃","79.5 %","85.3 °","1.8 m/s","1002.2 hPa","0 mm","94 %",
"2024-05-18 03:29:46","28.9 ℃","79.5 %","80.7 °","0.9 m/s","1002.3 hPa","0 mm","94 %",
"2024-05-18 03:44:46","28.9 ℃","79.5 %","50.2 °","1.1 m/s","1002.4 hPa","0 mm","94 %",
"2024-05-18 03:59:46","28.9 ℃","79 %","71.9 °","2.2 m/s","1002.6 hPa","0 mm","93 %",
"2024-05-18 04:14:46","29 ℃","78.5 %","242.1 °","1.2 m/s","1002.8 hPa","0 mm","93 %",
"2024-05-18 04:29:46","29 ℃","78.5 %","86.7 °","1.8 m/s","1002.7 hPa","0 mm","93 %",
"2024-05-18 04:44:46","29 ℃","78.5 %","323.9 °","0.8 m/s","1002.7 hPa","0 mm","93 %",
"2024-05-18 04:59:46","28.8 ℃","78.5 %","99.6 °","1 m/s","1003.1 hPa","0 mm","93 %",
"2024-05-18 05:14:46","28.8 ℃","79 %","5.4 °","0.9 m/s","1003.3 hPa","0 mm","91 %",
"2024-05-18 05:29:46","28.7 ℃","79 %","329.4 °","1.5 m/s","1003.5 hPa","0 mm","91 %",
"2024-05-18 05:44:46","28.5 ℃","79.5 %","319.2 °","0.8 m/s","1003.6 hPa","0 mm","91 %",
"2024-05-18 05:59:46","28.5 ℃","79.5 %","44.7 °","0.7 m/s","1003.7 hPa","0 mm","91 %",
"2024-05-18 06:14:46","28.6 ℃","79 %","314.8 °","0.3 m/s","1003.8 hPa","0 mm","91 %",
"2024-05-18 06:29:46","28.8 ℃","78 %","33.6 °","0.7 m/s","1004.1 hPa","0 mm","90 %",
"2024-05-18 06:44:46","29.3 ℃","76 %","101.1 °","1.5 m/s","1004.1 hPa","0 mm","90 %",
"2024-05-18 06:59:46","29.8 ℃","74.5 %","69.7 °","0.5 m/s","1004.5 hPa","0 mm","90 %",
"2024-05-18 07:14:46","29.9 ℃","73.5 %","100.2 °","1.7 m/s","1005.2 hPa","0 mm","90 %",
"2024-05-18 07:29:46","30.5 ℃","71.5 %","330.2 °","0.3 m/s","1005.2 hPa","0 mm","92 %",
"2024-05-18 07:44:46","30.6 ℃","70 %","334.4 °","0.9 m/s","1005.2 hPa","0 mm","92 %",
"2024-05-18 07:59:46","31 ℃","68.5 %","151.7 °","0.6 m/s","1005.4 hPa","0 mm","92 %",
"2024-05-18 08:14:46","30.8 ℃","69.5 %","77.5 °","1.2 m/s","1005.6 hPa","0 mm","92 %",
"2024-05-18 08:29:46","31.5 ℃","67 %","273.8 °","0.4 m/s","1005.6 hPa","0 mm","95 %",
