Tiempo,Temperatura,Humedad,Dirección del viento,Velocidad del viento,Presión barométrica,Precipitación,Batería
"2024-02-20 03:07:22","14.4 ℃","90.5 %","155 °","0.6 m/s","1019 hPa","0 mm","94 %",
"2024-02-20 03:17:22","14.3 ℃","90.5 %","136.3 °","0.4 m/s","1018.9 hPa","0 mm","93 %",
"2024-02-20 03:27:22","14.1 ℃","91 %","182.9 °","0.4 m/s","1019 hPa","0 mm","93 %",
"2024-02-20 03:37:22","14.1 ℃","91.5 %","143.7 °","0.7 m/s","1018.8 hPa","0 mm","93 %",
"2024-02-20 03:47:22","14 ℃","91.5 %","150.3 °","0.6 m/s","1018.8 hPa","0 mm","93 %",
"2024-02-20 03:57:22","14 ℃","91.5 %","183 °","0.6 m/s","1018.8 hPa","0 mm","93 %",
"2024-02-20 04:07:22","13.9 ℃","91.5 %","144.5 °","0.6 m/s","1018.8 hPa","0 mm","93 %",
"2024-02-20 04:17:22","13.7 ℃","91.5 %","133.6 °","0.4 m/s","1018.8 hPa","0 mm","93 %",
"2024-02-20 04:27:22","13.8 ℃","91.5 %","143 °","0.1 m/s","1018.8 hPa","0 mm","92 %",
"2024-02-20 04:37:22","13.7 ℃","92 %","267.7 °","0.2 m/s","1018.7 hPa","0 mm","92 %",
"2024-02-20 04:47:22","13.7 ℃","92 %","261.9 °","0.5 m/s","1018.8 hPa","0 mm","92 %",
"2024-02-20 04:57:22","13.7 ℃","91.5 %","285 °","0.5 m/s","1018.9 hPa","0 mm","92 %",
"2024-02-20 05:07:22","13.6 ℃","91.5 %","273 °","0.7 m/s","1018.9 hPa","0 mm","92 %",
"2024-02-20 05:17:24","13.5 ℃","91.5 %","283.5 °","0.4 m/s","1018.9 hPa","0 mm","92 %",
"2024-02-20 05:27:24","13.5 ℃","91.5 %","303.8 °","0.2 m/s","1019 hPa","0 mm","90 %",
"2024-02-20 05:37:22","13.5 ℃","91.5 %","150.5 °","0.1 m/s","1019.1 hPa","0 mm","90 %",
"2024-02-20 05:47:22","13.3 ℃","91.5 %","95.8 °","0.3 m/s","1019.2 hPa","0 mm","90 %",
"2024-02-20 05:57:22","13.2 ℃","92 %","152.1 °","0.2 m/s","1019.3 hPa","0 mm","90 %",
"2024-02-20 06:07:22","13 ℃","92.5 %","125.5 °","0.3 m/s","1019.4 hPa","0 mm","90 %",
"2024-02-20 06:17:22","13.1 ℃","92.5 %","131.6 °","0.2 m/s","1019.5 hPa","0 mm","90 %",
"2024-02-20 06:27:22","12.9 ℃","93 %","166.4 °","0.4 m/s","1019.7 hPa","0 mm","90 %",
"2024-02-20 06:37:22","13 ℃","93 %","157.8 °","0.1 m/s","1019.9 hPa","0 mm","89 %",
"2024-02-20 06:47:22","12.9 ℃","93 %","128.6 °","0.1 m/s","1019.8 hPa","0 mm","89 %",
"2024-02-20 06:57:22","12.8 ℃","93 %","146.5 °","0.4 m/s","1019.9 hPa","0 mm","89 %",
