Fecha(yyyy-mm-dd),Hora(hh:mm:ss),Temperatura(℃),Humedad(%),Dirección del viento(°),Velocidad del viento(m/s),Presión barométrica(hPa),Precipitación(mm)
2024-05-18,0 days 00:14:47,29.2,78.5,25.0,0.7,1002.7,0.0
2024-05-18,0 days 00:29:46,29.2,79.0,60.9,1.7,1002.7,0.0
2024-05-18,0 days 00:44:46,29.1,79.5,74.9,2.3,1002.5,0.0
2024-05-18,0 days 00:59:46,29.0,79.5,19.9,1.3,1002.3,0.0
2024-05-18,0 days 01:14:46,29.0,80.0,53.3,0.9,1002.4,0.0
2024-05-18,0 days 01:29:46,29.1,79.5,343.2,0.7,1002.7,0.0
2024-05-18,0 days 01:44:47,29.3,79.0,64.5,1.3,1002.7,0.0
2024-05-18,0 days 01:59:46,29.3,79.0,78.3,2.3,1002.4,0.0
2024-05-18,0 days 02:14:46,29.2,79.0,11.1,0.9,1002.4,0.0
2024-05-18,0 days 02:29:46,29.3,79.5,326.1,0.9,1002.4,0.0
2024-05-18,0 days 02:44:46,29.2,79.5,37.6,1.3,1002.3,0.0
2024-05-18,0 days 02:59:46,29.1,79.5,165.9,0.4,1002.4,0.0
2024-05-18,0 days 03:14:46,29.0,79.5,85.3,1.8,1002.2,0.0
2024-05-18,0 days 03:29:46,28.9,79.5,80.7,0.9,1002.3,0.0
2024-05-18,0 days 03:44:46,28.9,79.5,50.2,1.1,1002.4,0.0
2024-05-18,0 days 03:59:46,28.9,79.0,71.9,2.2,1002.6,0.0
2024-05-18,0 days 04:14:46,29.0,78.5,242.1,1.2,1002.8,0.0
2024-05-18,0 days 04:29:46,29.0,78.5,86.7,1.8,1002.7,0.0
2024-05-18,0 days 04:44:46,29.0,78.5,323.9,0.8,1002.7,0.0
2024-05-18,0 days 04:59:46,28.8,78.5,99.6,1.0,1003.1,0.0
2024-05-18,0 days 05:14:46,28.8,79.0,5.4,0.9,1003.3,0.0
2024-05-18,0 days 05:29:46,28.7,79.0,329.4,1.5,1003.5,0.0
2024-05-18,0 days 05:44:46,28.5,79.5,319.2,0.8,1003.6,0.0
2024-05-18,0 days 05:59:46,28.5,79.5,44.7,0.7,1003.7,0.0
2024-05-18,0 days 06:14:46,28.6,79.0,314.8,0.3,1003.8,0.0
2024-05-18,0 days 06:29:46,28.8,78.0,33.6,0.7,1004.1,0.0
2024-05-18,0 days 06:44:46,29.3,76.0,101.1,1.5,1004.1,0.0
