Tiempo,Temperatura,Humedad,Dirección del viento,Velocidad del viento,Presión barométrica,Precipitación,Batería
"2024-08-15 04:14:51"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","93 %",
"2024-08-15 04:29:51"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","93 %",
"2024-08-15 04:44:51"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","93 %",
"2024-08-15 04:59:51"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","93 %",
"2024-08-15 05:14:51"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","91 %",
"2024-08-15 05:29:51"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","91 %",
"2024-08-15 05:44:47","25.4 ℃","93.5 %","118.9 °","0.4 m/s","1009.9 hPa","0 mm","91 %",
"2024-08-15 05:59:47"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","91 %",
"2024-08-29 14:01:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-29 14:16:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-29 14:31:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-29 14:46:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-29 15:01:25","36.8 ℃","45 %","84.1 °","2 m/s","1006.3 hPa","0 mm","100 %",
"2024-08-29 15:16:27"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-29 15:31:25","36.1 ℃","53 %","55.3 °","3 m/s","1006.1 hPa","0 mm","100 %",
"2024-08-29 15:46:25","35.4 ℃","57 %","47.5 °","4.4 m/s","1006.1 hPa","0 mm","100 %",
"2024-08-29 16:01:25","35.2 ℃","56.5 %","82.6 °","3.3 m/s","1006.1 hPa","0 mm","100 %",
"2024-08-29 16:16:25","35.1 ℃","56 %","80.6 °","2.7 m/s","1006.1 hPa","0 mm","100 %",
"2024-08-29 16:31:27"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-29 16:46:25","34.7 ℃","56 %","301.9 °","0.8 m/s","1006.2 hPa","0 mm","100 %",
"2024-08-29 17:01:25","34.3 ℃","55 %","65.1 °","1.5 m/s","1006.3 hPa","0 mm","100 %",
"2024-08-29 17:16:25","34.1 ℃","55.5 %","89 °","1.9 m/s","1006.3 hPa","0 mm","100 %",
"2024-08-29 17:31:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-29 17:46:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-29 18:01:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-29 18:16:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-29 18:31:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-29 18:46:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-29 19:01:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
